symbol;currency_base;currency_quote
"BAT/USD";"Basic Attention Token";"US Dollar"
"BAT/USDC";"Basic Attention Token";"USD Coin"
"BAX/ETH";"BABB";"Ethereum"
"BAX/USD";"BABB";"US Dollar"
"BAY/USD";"BitBay";"US Dollar"
"BBC/BTC";"TraDove B2BCoin";"Bitcoin"
"BBC/USD";"TraDove B2BCoin";"US Dollar"
"BBK/ETH";"Brickblock";"Ethereum"
"BBK/USD";"Brickblock";"US Dollar"
"BBT/BTC";"BitBoost";"Bitcoin"
"BBT/USD";"BitBoost";"US Dollar"
"BCA/BTC";"Bitcoin Atom";"Bitcoin"
"BCAP/USD";"BCAP";"US Dollar"
"BCA/USD";"Bitcoin Atom";"US Dollar"
"BCD/BTC";"Bitcoin Diamond";"Bitcoin"
"BCD/ETH";"Bitcoin Diamond";"Ethereum"
"BCD/IDR";"Bitcoin Diamond";"Indonesian Rupiah"
"BCD/KRW";"Bitcoin Diamond";"Korean Won"
"BCDN/USD";"BlockCDN";"US Dollar"
"BCD/USD";"Bitcoin Diamond";"US Dollar"
"BCHABC/AUD";"Bitcoin Cash";"Australian Dollar"
"BCHABC/BTC";"Bitcoin Cash";"Bitcoin"
"BCHABC/IDR";"Bitcoin Cash";"Indonesian Rupiah"
"BCHABC/INR";"Bitcoin Cash";"Indian Rupee"
"BCHABC/ZAR";"Bitcoin Cash";"South African Rand"
"BCH/AUD";"Bitcoin Cash";"Australian Dollar"
"BCH/BNB";"Bitcoin Cash";"Binance Coin"
"BCH/BRL";"Bitcoin Cash";"Brazil Real"
"BCH/BTC";"Bitcoin Cash";"Bitcoin"
"BCH/CAD";"Bitcoin Cash";"Canadian Dollar"
"BCH/CNY";"Bitcoin Cash";"Chinese Yuan"
"BCH/ETH";"Bitcoin Cash";"Ethereum"
"BCH/EUR";"Bitcoin Cash";"Euro"
"BCH/GBP";"Bitcoin Cash";"British Pound"
"BCH/HKD";"Bitcoin Cash";"Hong Kong Dollar"
"BCH/HT";"Bitcoin Cash";"Huobi Token"
"BCH/ILS";"Bitcoin Cash";"Israeli Shekel"
"BCH/INR";"Bitcoin Cash";"Indian Rupee"
"BCH/JPY";"Bitcoin Cash";"Japanese Yen"
"BCH/KRW";"Bitcoin Cash";"Korean Won"
"BCH/MXN";"Bitcoin Cash";"Mexican Peso"
"BCH/MYR";"Bitcoin Cash";"Malaysian Ringgit"
"BCH/PLN";"Bitcoin Cash";"Polish Zloty"
"BCH/RUB";"Bitcoin Cash";"Russian Ruble"
"BCH/SAR";"Bitcoin Cash";"Saudi Riyal"
"BCH/SEK";"Bitcoin Cash";"Swedish Krona"
"BCH/SGD";"Bitcoin Cash";"Singapore Dollar"
"BCHSV/AUD";"Bitcoin SV";"Australian Dollar"
"BCHSV/BTC";"Bitcoin SV";"Bitcoin"
"BCHSV/DOGE";"Bitcoin SV";"Dogecoin"
"BCHSV/ETH";"Bitcoin SV";"Ethereum"
"BCHSV/IDR";"Bitcoin SV";"Indonesian Rupiah"
"BCHSV/INR";"Bitcoin SV";"Indian Rupee"
"BCHSV/USD";"Bitcoin SV";"US Dollar"
"BCH/THB";"Bitcoin Cash";"Thai Baht"
"BCH/TRY";"Bitcoin Cash";"Turkish Lira"
"BCH/USD";"Bitcoin Cash";"US Dollar"
"BCH/VND";"Bitcoin Cash";"Vietnamese Dong"
"BCH/XRP";"Bitcoin Cash";"XRP"
"BCH/ZAR";"Bitcoin Cash";"South African Rand"
"BCI/BTC";"Bitcoin Interest";"Bitcoin"
"BCI/USD";"Bitcoin Interest";"US Dollar"
"BCN/ETH";"Bytecoin";"Ethereum"
"BCN/USD";"Bytecoin";"US Dollar"
"BCO/USD";"BridgeCoin";"US Dollar"
"BCPT/BNB";"Blockmason Credit Protocol";"Binance Coin"
"BCPT/BTC";"Blockmason Credit Protocol";"Bitcoin"
"BCPT/ETH";"Blockmason Credit Protocol";"Ethereum"
"BCPT/USD";"Blockmason Credit Protocol";"US Dollar"
"BCV/BTC";"BitCapitalVendor";"Bitcoin"
"BCV/USD";"BitCapitalVendor";"US Dollar"
"BCX/BTC";"BitcoinX";"Bitcoin"
"BCX/USD";"BitcoinX";"US Dollar"
"BCZERO/BTC";"Buggyra Coin Zero";"Bitcoin"
"BCZERO/USD";"Buggyra Coin Zero";"US Dollar"
"BDG/BTC";"BitDegree";"Bitcoin"
"BDG/ETH";"BitDegree";"Ethereum"
"BDG/USD";"BitDegree";"US Dollar"
"BDL/USD";"Bitdeal";"US Dollar"
"BEAM/BTC";"Beam";"Bitcoin"
"BEAM/ETH";"Beam";"Ethereum"
"BEAM/USD";"Beam";"US Dollar"
"BEE/USD";"Bee-Token";"US Dollar"
"BELA/BTC";"Bela";"Bitcoin"
"BELA/USD";"Bela";"US Dollar"
"BENJI/USD";"BenjiRolls";"US Dollar"
"BERN/BTC";"BERNcash";"Bitcoin"
"BERN/USD";"BERNcash";"US Dollar"
"BERRY/BTC";"Rentberry";"Bitcoin"
"BERRY/ETH";"Rentberry";"Ethereum"
"BERRY/USD";"Rentberry";"US Dollar"
"BESTb/BTC";"Bitpanda Ecosystem Token";"Bitcoin"
"BESTb/EUR";"Bitpanda Ecosystem Token";"Euro"
"BEST/BTC";"BestChain";"Bitcoin"
"BESTb/USD";"Bitpanda Ecosystem Token";"US Dollar"
"BEST/USD";"BestChain";"US Dollar"
"BETA/BTC";"Beta Finance";"Bitcoin"
"BETA/ETH";"Beta Finance";"Ethereum"
"BETA/USD";"Beta Finance";"US Dollar"
"BEZ/BTC";"Bezop";"Bitcoin"
"BEZ/ETH";"Bezop";"Ethereum"
"BEZ/USD";"Bezop";"US Dollar"
"BFT/BTC";"BnkToTheFuture";"Bitcoin"
"BFT/ETH";"BnkToTheFuture";"Ethereum"
"BFT/USD";"BnkToTheFuture";"US Dollar"
"BIGUP/USD";"BigUp";"US Dollar"
"BIOB/USD";"BioBar";"US Dollar"
"BIOS/USD";"BiosCrypto";"US Dollar"
"BIRDS/USD";"Birds";"US Dollar"
"BIS/BTC";"Bismuth";"Bitcoin"
"BIS/USD";"Bismuth";"US Dollar"
"BITB/BTC";"Bean Cash";"Bitcoin"
"BIT/BTC";"First Bitcoin";"Bitcoin"
"BITB/USD";"Bean Cash";"US Dollar"
"BITCAR/ETH";"BitCar";"Ethereum"
"BITCAR/USD";"BitCar";"US Dollar"
"BITOK/ETH";"Bitok";"Ethereum"
"BITOK/USD";"Bitok";"US Dollar"
"BITS/BTC";"Bitstar";"Bitcoin"
"BITS/USD";"Bitstar";"US Dollar"
"BIT/USD";"First Bitcoin";"US Dollar"
"BITZ/BTC";"Bitz";"Bitcoin"
"BITZ/USD";"Bitz";"US Dollar"
"BIX/BTC";"Bibox Token";"Bitcoin"
"BIX/ETH";"Bibox Token";"Ethereum"
"BIX/USD";"Bibox Token";"US Dollar"
"BKX/USD";"BANKEX";"US Dollar"
"BLAZR/BTC";"BlazerCoin";"Bitcoin"
"BLAZR/USD";"BlazerCoin";"US Dollar"
"BLC/BTC";"Blakecoin";"Bitcoin"
"BLC/USD";"Blakecoin";"US Dollar"
"BLITZ/USD";"Blitzcash";"US Dollar"
"BLK/BTC";"BlackCoin";"Bitcoin"
"BLK/USD";"BlackCoin";"US Dollar"
"BLN/BTC";"Bolenum";"Bitcoin"
"BLOCK/BTC";"Blocknet";"Bitcoin"
"BLOCK/USD";"Blocknet";"US Dollar"
"BLOK/USD";"Bloktopia";"US Dollar"
"BLRY/USD";"BillaryCoin";"US Dollar"
"BLUE/BTC";"Blue Protocol";"Bitcoin"
"BLUE/ETH";"Blue Protocol";"Ethereum"
"BLUE/USD";"BLUE";"US Dollar"
"BLUR/USD";"Blur";"US Dollar"
"BLU/USD";"BlueCoin";"US Dollar"
"BLX/USD";"Blockchain Index";"US Dollar"
"BLZE/BNB";"Bluzelle";"Binance Coin"
"BLZE/BTC";"Bluzelle";"Bitcoin"
"BLZE/ETH";"Bluzelle";"Ethereum"
"BLZE/USD";"Bluzelle";"US Dollar"
"BMC/BTC";"Blackmoon";"Bitcoin"
"BMC/ETH";"Blackmoon";"Ethereum"
"BMC/USD";"Blackmoon";"US Dollar"
"BMT/BTC";"BMChain";"Bitcoin"
"BMT/ETH";"BMChain";"Ethereum"
"BMT/RUB";"BMChain";"Russian Ruble"
"BMT/USD";"BMChain";"US Dollar"
"BNB/BRL";"Binance Coin";"Brazil Real"
"BNB/BTC";"Binance Coin";"Bitcoin"
"BNB/CAD";"BNB";"Canadian Dollar"
"BNB/ETH";"Binance Coin";"Ethereum"
"BNB/EUR";"Binance Coin";"Euro"
"BNB/INR";"Binance Coin";"Indian Rupee"
"BNB/TAUD";"BNB";"TrueAUD"
"BNB/THB";"Binance Coin";"Thai Baht"
"BNB/TRY";"Binance Coin";"Turkish Lira"
"BNB/USD";"Binance Coin";"US Dollar"
"BNK/BTC";"Bankera";"Bitcoin"
"BNK/ETH";"Bankera";"Ethereum"
"BNK/USD";"Bankera";"US Dollar"
"BNS/BTC";"BNS Token";"Bitcoin"
"BNS/INR";"BNS Token";"Indian Rupee"
"BNS/USD";"BNS Token";"US Dollar"
"BNT/BTC";"Bancor";"Bitcoin"
"BNT/ETH";"Bancor";"Ethereum"
"BNT/USD";"Bancor";"US Dollar"
"BNTY/ETH";"Bounty0x";"Ethereum"
"BNTY/USD";"Bounty0x";"US Dollar"
"BNXr/BTC";"BinaryX";"Bitcoin"
"BNXr/USD";"BinaryX";"US Dollar"
"BOAT/USD";"BOAT";"US Dollar"
"BOK/BTC";"Blockium";"Bitcoin"
"BOK/USD";"Blockium";"US Dollar"
"BOLI/BTC";"Bolivarcoin";"Bitcoin"
"BORA/KRW";"BORA";"Korean Won"
"BORA/USD";"BORA";"US Dollar"
"BOX/BTC";"ContentBox";"Bitcoin"
"BOX/USD";"ContentBox";"US Dollar"
"BPC/BTC";"Bitpark Coin";"Bitcoin"
"BPCN/USD";"Big Profit Coin";"US Dollar"
"BPC/USD";"Bitpark Coin";"US Dollar"
"BPL/USD";"Blockpool";"US Dollar"
"BQ/USD";"bitqy";"US Dollar"
"BQX/BTC";"Voyager Token";"Bitcoin"
"BQX/ETH";"Voyager Token";"Ethereum"
"BQX/USD";"Voyager Token";"US Dollar"
"BRAIN/BTC";"Braincoin";"Bitcoin"
"BRAIN/USD";"Braincoin";"US Dollar"
"BRAT/USD";"BROTHER";"US Dollar"
"BRD/BTC";"Bread";"Bitcoin"
"BRD/ETH";"Bread";"Ethereum"
"BRD/USD";"Bread";"US Dollar"
"BRIA/USD";"BriaCoin";"US Dollar"
"BRIT/USD";"BritCoin";"US Dollar"
"BRK/USD";"Breakout";"US Dollar"
"BRO/BTC";"Bitradio";"Bitcoin"
"BRO/USD";"Bitradio";"US Dollar"
"BRX/USD";"Breakout Stake";"US Dollar"
"BRZE/BTC";"Breezecoin";"Bitcoin"
"BRZE/USD";"Breezecoin";"US Dollar"
"BSC/BTC";"BowsCoin";"Bitcoin"
"BSC/USD";"BowsCoin";"US Dollar"
"BSN/BTC";"Bastonet";"Bitcoin"
"BSN/USD";"Bastonet";"US Dollar"
"BSR/USD";"BitSoar";"US Dollar"
"BSTAR/USD";"Blackstar";"US Dollar"
"BST/USD";"BlockStamp";"US Dollar"
"BSTY/BTC";"GlobalBoost-Y";"Bitcoin"
"BSTY/USD";"GlobalBoost-Y";"US Dollar"
"BSV/BCH";"Bitcoin SV";"Bitcoin Cash"
"BSV/BTC";"Bitcoin SV";"Bitcoin"
"BSV/CAD";"Bitcoin SV";"Canadian Dollar"
"BSV/ETH";"Bitcoin SV";"Ethereum"
"BSV/EUR";"Bitcoin SV";"Euro"
"BSV/KRW";"Bitcoin SV";"Korean Won"
"BSV/THB";"Bitcoin SV";"Thai Baht"
"BSV/USD";"Bitcoin SV";"US Dollar"
"BSV/ZAR";"Bitcoin SV";"South African Rand"
"BSW/TRY";"Biswap";"Turkish Lira"
"BSW/USD";"Biswap";"US Dollar"
"BTA/BTC";"Bata";"Bitcoin"
"BTA/USD";"Bata";"US Dollar"
"BTB/BTC";"BitBar";"Bitcoin"
"BTBc/USD";"Bitbase";"US Dollar"
"BTB/USD";"BitBar";"US Dollar"
"BTC2X/USD";"Bitcoin2x";"US Dollar"
"BTC/AUD";"Bitcoin";"Australian Dollar"
"BTCB/BTC";"Bitcoin BEP2";"Ethereum"
"BTC/BRL";"Bitcoin";"Brazil Real"
"BTCB/USD";"Bitcoin BEP2";"US Dollar"
"BTC/CAD";"Bitcoin";"Canadian Dollar"
"BTC/CHF";"Bitcoin";"Swiss Franc"
"BTC/CNY";"Bitcoin";"Chinese Yuan"
"BTC/ETH";"Bitcoin";"Ethereum"
"BTC/EUR";"Bitcoin";"Euro"
"BTC/GBP";"Bitcoin";"British Pound"
"BTC/HKD";"Bitcoin";"Hong Kong Dollar"
"BTC/IDR";"Bitcoin";"Indonesian Rupiah"
"BTC/ILS";"Bitcoin";"Israeli Shekel"
"BTC/INR";"Bitcoin";"Indian Rupee"
"BTC/JPY";"Bitcoin";"Japanese Yen"
"BTC/KRW";"Bitcoin";"Korean Won"
"BTCM/BTC";"BTCMoon";"Bitcoin"
"BTCM/USD";"BTCMoon";"US Dollar"
"BTC/MXN";"Bitcoin";"Mexican Peso"
"BTC/MYR";"Bitcoin";"Malaysian Ringgit"
"BTC/NGN";"Bitcoin";"Nigerian Naira"
"BTC/NZD";"Bitcoin";"New Zealand Dollar"
"BTCP/BTC";"Bitcoin Private";"Bitcoin"
